fold,feature,coefficient,abs_coefficient
1,log_prc,-0.0731968887254932,0.0731968887254932
1,age,0.01811538340762285,0.01811538340762285
1,mom_7,-0.002011932311883703,0.002011932311883703
1,mom_21,-0.010211446225165823,0.010211446225165823
1,mom_7_28,0.027677508710241588,0.027677508710241588
1,r2_1,-0.020482936809518636,0.020482936809518636
1,r31_2,0.004401427345533682,0.004401427345533682
1,r30_14,-0.007478979134103893,0.007478979134103893
1,close_90dh,0.007391623961489397,0.007391623961489397
1,log_vol,-0.07905860374594356,0.07905860374594356
1,log_prcvol,0.009215397394219586,0.009215397394219586
1,std_prcvol,-0.01117472909297737,0.01117472909297737
1,amihud_illiq,-0.028027829055161685,0.028027829055161685
1,volsh_30,-0.012402949083010437,0.012402949083010437
1,retvol_7,0.0009728891009755172,0.0009728891009755172
1,rvol_30,-0.053684812803196466,0.053684812803196466
1,beta_30,0.04248246799548018,0.04248246799548018
1,ivol_30,0.0008053035228376814,0.0008053035228376814
1,capm_alpha_30,-0.0017974130971038895,0.0017974130971038895
1,var_90,0.003406324053328514,0.003406324053328514
1,skew_90,-0.0010714896450552723,0.0010714896450552723
