model,leg,n_days,mean_daily_ret,ann_return,ann_vol,sharpe_ratio,max_drawdown,cum_return,win_rate
OLS,long_short,208,0.0029921266650435106,1.9757484721644394,0.6533030839335655,1.671699184649708,-0.2604141972790638,0.648380330001177,0.5673076923076923
OLS,long_only,208,-0.00199597121024567,-0.5177330705108276,0.5520210544570209,-1.3197494658175055,-0.4725999544110904,-0.3951454044194468,0.4807692307692308
PLS,long_short,208,0.0028119684850892186,1.7868951833293272,0.6338793593973202,1.6191858621700748,-0.25746260417008693,0.5994507174605617,0.6105769230769231
PLS,long_only,208,-0.0023311495067464823,-0.573380543647715,0.5250452499394411,-1.620564265766818,-0.5099618207995926,-0.43123608326637575,0.4567307692307692
LASSO,long_short,208,0.0033479554240515314,2.387061316214725,0.6448340425808526,1.8950670235831846,-0.2603864506894106,0.7807632698945757,0.5769230769230769
LASSO,long_only,208,-0.0019692895611178904,-0.5130040021325566,0.5525484503480071,-1.3008645474533855,-0.4676741676190813,-0.3918704085676883,0.47596153846153844
Elastic Net,long_short,208,0.0031279665020104005,2.126536605951939,0.652176323192975,1.7506121161285575,-0.260414197279064,0.6961424273964159,0.5769230769230769
Elastic Net,long_only,208,-0.0019504085569346183,-0.5096296094701949,0.5521591490830918,-1.289300601942947,-0.4650164074663796,-0.38939894973264444,0.4807692307692308
Random Forest,long_short,208,0.003550149246879675,2.6455591475084046,0.6565377467723947,1.9736937921412525,-0.2796074557918452,0.8491246373784769,0.6057692307692307
Random Forest,long_only,208,-0.0017922381582390927,-0.4804300561199569,0.4673647872841933,-1.3996923721159282,-0.4638633924658708,-0.3532139523683385,0.4807692307692308
LightGBM,long_short,208,0.003690083167550924,2.8358896987925544,0.6836860228605988,1.9700276312811378,-0.28964187771703265,0.88308399317284,0.5769230769230769
LightGBM,long_only,208,-0.0015421576550149242,-0.4306853565439466,0.5165809062358883,-1.0896406299295425,-0.4732596404978383,-0.3280857141016007,0.4807692307692308
FFNN,long_short,208,0.002154288614167484,1.1934367006877524,0.506972862095831,1.5510008581534243,-0.266536827208923,0.45471605120784897,0.5336538461538461
FFNN,long_only,208,-0.0012843012823889701,-0.3744169893382818,0.59668775700842,-0.7856202219100653,-0.5215839007808839,-0.3081284344537576,0.4807692307692308
COMB,long_short,208,0.0029893768757976347,1.9727721887275673,0.6427625371648077,1.6975515786576825,-0.2605998048513485,0.6546284871666326,0.5913461538461539
COMB,long_only,208,-0.0019540158551333885,-0.5102760988191157,0.5085583541340928,-1.402426646472179,-0.4586995169818845,-0.3818694737410525,0.47115384615384615
