,log_prc,age,mom_7,mom_21,mom_7_28,r2_1,r31_2,r30_14,close_90dh,log_vol,log_prcvol,std_prcvol,amihud_illiq,volsh_30,retvol_7,rvol_30,beta_30,ivol_30,capm_alpha_30,var_90,skew_90
log_prc,1.0,0.2930104192362353,0.08516914833914295,0.07714515317921215,0.0527766868360397,0.057723034935257655,0.053509562807609795,0.047661909319656345,0.33023255193041035,-0.9208364486799286,0.3103434620051336,0.27979020004403327,-0.34394170885559383,0.12626302642888101,-0.18440251418801495,-0.3358759206407454,-0.11610259404046103,-0.2913624065677624,0.01798972503531134,0.31945953631732316,-0.1679813278543171
age,0.2930104192362353,1.0,0.10340321966031787,0.10229064331657381,0.0763633427634279,0.0732440303341345,0.08084471617690937,0.06686302732573303,0.4252958969494879,-0.18139307284919742,0.38624807394641264,0.34085938781095293,-0.49050149136109394,0.11622641660756956,-0.3703810037633625,-0.5337431203747657,-0.23959637907503922,-0.47883291570093167,0.01925736612907107,0.5583425964053378,-0.20039784434820274
mom_7,0.08516914833914295,0.10340321966031787,1.0,0.4549914243642561,-0.013202987655410427,0.27549738756899056,0.25579726618242876,-0.005739545336945093,0.36441621716498057,0.006644340561219006,0.2742615276099552,0.272440313069885,-0.07620993050830287,0.4563444694825845,0.2147397814263659,-0.05247351867514673,-0.03165528478009075,-0.007730355033379957,0.3184382039349863,0.13385899941834165,-0.008137261477123497
mom_21,0.07714515317921215,0.10229064331657381,0.4549914243642561,1.0,0.6096325063607725,0.12499217506678671,0.6874877812459079,0.3444940550575717,0.4481180609473214,0.011337117012931235,0.26426614829740475,0.30612735568882166,0.017480418836293393,0.3424932821922612,0.21715855797544228,0.11457663473176795,-0.02353883542382324,0.20550917918022338,0.6864936284065811,0.11017266030473512,0.1143475009433174
mom_7_28,0.0527766868360397,0.0763633427634279,-0.013202987655410427,0.6096325063607725,1.0,-0.014627468312315067,0.8131512112468549,0.7221296691197729,0.34834020365070806,-0.008663960718938555,0.13066655257391924,0.16829501428898952,0.08654957960165115,0.03663287314826069,0.09902425867311405,0.20919182773052555,-0.012857435899021347,0.305940399589673,0.7516467053441518,0.054395989302785865,0.16082860563679854
r2_1,0.057723034935257655,0.0732440303341345,0.27549738756899056,0.12499217506678671,-0.014627468312315067,1.0,-0.026763377619070886,-0.0024219040104867437,0.1784386524153402,-0.007163813555507684,0.1405391627234416,0.045384970990270924,-0.0834434151640267,0.21291959185271958,-0.040682861878526426,-0.09538978643590237,-0.02420906193536369,-0.08788840414328604,0.07194765221563083,0.09261937628282221,-0.049971104158643045
r31_2,0.053509562807609795,0.08084471617690937,0.25579726618242876,0.6874877812459079,0.8131512112468549,-0.026763377619070886,1.0,0.716281276632649,0.4152278418826686,0.0045726635320689005,0.17158495174228666,0.23713388237417632,0.11345179726142125,0.10168231269957186,0.20028274349431216,0.2547545938306492,-0.012802557279160732,0.3669844489860577,0.8659340767459571,0.05911452458220101,0.20453298207107312
r30_14,0.047661909319656345,0.06686302732573303,-0.005739545336945093,0.3444940550575717,0.7221296691197729,-0.0024219040104867437,0.716281276632649,1.0,0.2774608149460265,-0.02290826859340187,0.07449851260037613,0.08367713503450108,0.08384060770482181,-0.08290105784729002,0.040136557258077625,0.19588308018740605,-0.010978086011207132,0.2850453222666277,0.6730853595752699,0.040716282620847914,0.13744024902365723
close_90dh,0.33023255193041035,0.4252958969494879,0.36441621716498057,0.4481180609473214,0.34834020365070806,0.1784386524153402,0.4152278418826686,0.2774608149460265,1.0,-0.20058914485967946,0.43042855654037127,0.37634287273391726,-0.3599835811664506,0.29812717884818674,-0.18887543083814667,-0.38962369568821,-0.2648463153518372,-0.258083389506487,0.3683239117552672,0.5446550796115355,-0.15414987021650048
log_vol,-0.9208364486799286,-0.18139307284919742,0.006644340561219006,0.011337117012931235,-0.008663960718938555,-0.007163813555507684,0.0045726635320689005,-0.02290826859340187,-0.20058914485967946,1.0,-0.005253536264672357,-0.015959155977213445,0.11580129617579575,0.045129768211793646,0.19668689372966502,0.2699842744837096,0.13060328160546747,0.23279415330488404,0.03762557159116307,-0.23068282749040706,0.15715852284725246
