feature,vif,above_threshold
log_prc,17.963097875961527,True
log_vol,16.308010592327225,True
log_prcvol,9.438021629466911,True
rvol_30,7.548418627674883,True
r31_2,6.47262077394508,True
amihud_illiq,6.053340794628005,True
ivol_30,5.697176113174969,True
capm_alpha_30,5.4995799465126955,True
std_prcvol,4.796912328204001,False
mom_7_28,4.656179512916516,False
mom_21,3.0750288260678724,False
r30_14,2.935054139103987,False
var_90,2.662260482767737,False
retvol_7,2.442203441311633,False
volsh_30,2.4118549086969026,False
close_90dh,2.310461269437744,False
mom_7,2.167285971069406,False
age,1.7453016679310418,False
beta_30,1.6282284601244683,False
skew_90,1.3564849884533376,False
r2_1,1.1953392012253665,False
