model,leg,n_days,mean_daily_ret,ann_return,ann_vol,sharpe_ratio,max_drawdown,cum_return,win_rate
OLS,long_short,658,0.003111457410404466,2.1078115541626947,0.5358806676043743,2.1192814435247964,-0.3051031379373611,4.958229144856218,0.5759878419452887
OLS,long_only,658,-0.0003065650507620905,-0.10587831381744739,0.7675229369837602,-0.14578879423186622,-0.7025432818694726,-0.52061761251572,0.48936170212765956
PLS,long_short,658,0.003061561222087263,2.051895058403892,0.5798033481390832,1.927325617639918,-0.4220361013273637,4.491700296029843,0.5790273556231003
PLS,long_only,658,-0.00027180539623201504,-0.0944587564118955,0.7216330945187209,-0.13747840887321133,-0.6149997392804109,-0.4781765066424497,0.49848024316109424
LASSO,long_short,658,0.003041953191802284,2.0301968124263334,0.5379867359669058,2.0638295347789657,-0.34061417023908847,4.6807419720327434,0.5790273556231003
LASSO,long_only,658,-0.000334874164967213,-0.1150724842732389,0.7640619047788708,-0.15997273185398161,-0.7016044049167001,-0.5272553650589861,0.4969604863221885
Elastic Net,long_short,658,0.003112500128859311,2.1089909173718233,0.5386678839136594,2.1090222397883718,-0.31066199419380824,4.946199320096429,0.5775075987841946
Elastic Net,long_only,658,-0.0003169203790316608,-0.10925249209692556,0.7651629181327744,-0.15117818128045193,-0.7016795452994201,-0.5223936000923992,0.4969604863221885
Random Forest,long_short,658,0.002224873759671183,1.2505550472327744,0.5596095782411612,1.4511526497318459,-0.37232136038878694,2.249411956868715,0.5714285714285714
Random Forest,long_only,658,-0.0003771329014626248,-0.12862205232496815,0.6981594342271674,-0.19716629509738642,-0.614499198150013,-0.4987075141557197,0.4908814589665654
LightGBM,long_short,658,0.00245907096188253,1.4509093622973603,0.5705920237697643,1.5730344338800153,-0.3930660703573108,2.7426484818309795,0.5653495440729484
LightGBM,long_only,658,-1.3808023844665678e-05,-0.005027284193332204,0.7168678734140231,-0.007030484821841345,-0.6447859407373517,-0.37759131024979287,0.49848024316109424
FFNN,long_short,658,0.001309233964458206,0.6121325177078727,0.4894632904176353,0.9763150912083752,-0.4315999457281974,0.9023009486699061,0.5516717325227963
FFNN,long_only,658,-0.0011414113462287227,-0.34088225425457186,0.8251023141199193,-0.5049254307544379,-0.7543636411790035,-0.7454828359152936,0.49240121580547114
COMB,long_short,658,0.0027944906609128346,1.7692224194132442,0.5456438330073764,1.8693312918271274,-0.4157041557959581,3.782555242381804,0.5987841945288754
COMB,long_only,658,-0.00026761864137577477,-0.09307350771098843,0.7451183490489742,-0.13109434793389785,-0.670823496328091,-0.49277956298499814,0.49848024316109424
