fold,feature,coefficient,abs_coefficient
1,log_prc,-0.024816140358852903,0.024816140358852903
1,age,0.002191054810378793,0.002191054810378793
1,mom_7,0.017367394084100245,0.017367394084100245
1,mom_21,0.0027585830428072215,0.0027585830428072215
1,mom_7_28,0.0013282299642265118,0.0013282299642265118
1,r2_1,-0.01670450378424237,0.01670450378424237
1,r31_2,0.04700402062516708,0.04700402062516708
1,r30_14,-0.0040841745857515994,0.0040841745857515994
1,close_90dh,0.021053019567053455,0.021053019567053455
1,log_vol,-0.027115391250672104,0.027115391250672104
1,log_prcvol,-0.01812047116920702,0.01812047116920702
1,std_prcvol,-0.04222086999378717,0.04222086999378717
1,amihud_illiq,-0.061831464846030686,0.061831464846030686
1,volsh_30,-0.006515161161373019,0.006515161161373019
1,retvol_7,0.013997287918913717,0.013997287918913717
1,rvol_30,-0.005008192551527594,0.005008192551527594
1,beta_30,0.00030511143138328684,0.00030511143138328684
1,ivol_30,-0.008242375719779866,0.008242375719779866
1,capm_alpha_30,-0.015019433905882408,0.015019433905882408
1,var_90,0.001090871798724946,0.001090871798724946
1,skew_90,-0.0028662959432201977,0.0028662959432201977
2,log_prc,-0.027540322956637955,0.027540322956637955
2,age,0.004944321097980216,0.004944321097980216
2,mom_7,0.016364053564203382,0.016364053564203382
2,mom_21,0.005143193884782236,0.005143193884782236
2,mom_7_28,-0.006976440653651169,0.006976440653651169
2,r2_1,-0.013113293844997398,0.013113293844997398
2,r31_2,0.034005180849503776,0.034005180849503776
2,r30_14,-0.001111986171251036,0.001111986171251036
2,close_90dh,0.0037731709173124376,0.0037731709173124376
2,log_vol,-0.03460617994313694,0.03460617994313694
2,log_prcvol,-0.01246889298299378,0.01246889298299378
2,std_prcvol,-0.04667705800444234,0.04667705800444234
2,amihud_illiq,-0.07000440916688758,0.07000440916688758
2,volsh_30,-0.007540156291475441,0.007540156291475441
2,retvol_7,0.00831823965911298,0.00831823965911298
2,rvol_30,0.005639287356606649,0.005639287356606649
2,beta_30,-0.0023067440207507743,0.0023067440207507743
2,ivol_30,-0.012538363244048134,0.012538363244048134
2,capm_alpha_30,-0.0010031272937521955,0.0010031272937521955
2,var_90,0.004985370629805263,0.004985370629805263
2,skew_90,-0.0015895149273074116,0.0015895149273074116
3,log_prc,-0.04812567822558378,0.04812567822558378
3,age,0.006336222943375623,0.006336222943375623
3,mom_7,0.01293991432129496,0.01293991432129496
3,mom_21,-0.0019800824776946883,0.0019800824776946883
3,mom_7_28,0.0038568082760284945,0.0038568082760284945
3,r2_1,-0.01608660055403365,0.01608660055403365
3,r31_2,0.015890145869477866,0.015890145869477866
3,r30_14,0.0016002789644726067,0.0016002789644726067
3,close_90dh,0.007294147187459525,0.007294147187459525
3,log_vol,-0.05296045697493342,0.05296045697493342
3,log_prcvol,-0.010782651121262369,0.010782651121262369
3,std_prcvol,-0.036704288683452595,0.036704288683452595
3,amihud_illiq,-0.0645479599727825,0.0645479599727825
3,volsh_30,-0.00528120894334577,0.00528120894334577
3,retvol_7,0.008334910007013458,0.008334910007013458
3,rvol_30,-0.000767286536842255,0.000767286536842255
3,beta_30,0.009317623041034102,0.009317623041034102
3,ivol_30,-0.012206260961892534,0.012206260961892534
3,capm_alpha_30,0.004807276652528629,0.004807276652528629
3,var_90,0.004837888735265896,0.004837888735265896
3,skew_90,-0.0029216813870079454,0.0029216813870079454
