fold,feature,importance
1,log_prc,0.013884721143759698
1,age,0.025311472319155613
1,mom_7,0.05441336107491594
1,mom_21,0.03717916573667244
1,mom_7_28,0.027605921902348556
1,r2_1,0.14673306315862464
1,r31_2,0.040949042080968716
1,r30_14,0.025599023884558796
1,close_90dh,0.15138882717617694
1,log_vol,0.04666816777762691
1,log_prcvol,0.028647295743081513
1,std_prcvol,0.031016229165934387
1,amihud_illiq,0.04737860820796382
1,volsh_30,0.07185500743592461
1,retvol_7,0.051280336922325497
1,rvol_30,0.062236541260294494
1,beta_30,0.02638214487429517
1,ivol_30,0.045984203076856994
1,capm_alpha_30,0.025303946474101443
1,var_90,0.016325946932287668
1,skew_90,0.02385697365212632
2,log_prc,0.030855304450928104
2,age,0.0280631001221107
2,mom_7,0.055164427426375645
2,mom_21,0.05084716127111074
2,mom_7_28,0.017477003516982066
2,r2_1,0.18290281021229168
2,r31_2,0.03377148442518788
2,r30_14,0.02151653791075758
2,close_90dh,0.09218441422782368
2,log_vol,0.023317503226473992
2,log_prcvol,0.023567419115437405
2,std_prcvol,0.03180101846376702
2,amihud_illiq,0.06777738608864937
2,volsh_30,0.06633397624294392
2,retvol_7,0.030026423338640976
2,rvol_30,0.09700211762420782
2,beta_30,0.027575518071339893
2,ivol_30,0.047177142139461975
2,capm_alpha_30,0.03054730322548836
2,var_90,0.02206515489163875
2,skew_90,0.020026794008382368
3,log_prc,0.021201509722501784
3,age,0.027611603762362956
3,mom_7,0.0522342226944783
3,mom_21,0.024530149055662843
3,mom_7_28,0.029618619651131047
3,r2_1,0.20088004360763392
3,r31_2,0.02507302933462812
3,r30_14,0.014256138689313141
3,close_90dh,0.10342670793587692
3,log_vol,0.021886448040102115
3,log_prcvol,0.019923553476572868
3,std_prcvol,0.028036874368315964
3,amihud_illiq,0.04923596627577102
3,volsh_30,0.06512314195587676
3,retvol_7,0.025684212584948837
3,rvol_30,0.09535770013722746
3,beta_30,0.04880062143799393
3,ivol_30,0.05663381445673203
3,capm_alpha_30,0.02573161618707053
3,var_90,0.02710265036886194
3,skew_90,0.03765137625693756
